"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"BITS";"CENTROID_NOT_SPECIFIED";"CIIVA_IDS";"CODE__IPC";"CODE__JEDEC";"CODE__JEITA";"COMPONENT_LINK_1_DESCRIPTION";"COMPONENT_LINK_1_URL";"COMPONENT_LINK_3_DESCRIPTION";"COMPONENT_LINK_3_URL";"COMP_TYPE";"DATASHEET";"DATASHEET_VERSION";"DESCRIPTION";"DIGIKEY_DESCRIPTION";"DIGIKEY_PART_NUMBER";"FOOTPRINT_VARIANT_NAME_0";"FOOTPRINT_VARIANT_NAME_1";"FOOTPRINT_VARIANT_NAME_2";"F__NOM_VOLTAGEMAXMHZ";"HIGH__RELIABILITY";"ICC__NOM_VOLTAGEMAXMA";"IMPORTED";"IMPORTED_FROM";"IMPORT_TS";"INPUT_TYPE";"IPC_LAND_PATTERN_NAME";"JUNCTION_CAPACITANCE";"LEAD_FREE";"MANUFACTURER_PRODUCT_PAGE";"MF";"MFG_PACKAGE_IDENT";"MFG_PACKAGE_IDENT_REV";"MOUNTING_TECHNOLOGY";"MOUSER_DESCRIPTION";"MOUSER_PART_NUMBER";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMPERATURE_RANGEC";"OUTPUT_TYPE";"PACKAGE";"PACKAGE_DESCRIPTION";"PACKAGE_TOP_MARKING";"PACKAGE_VERSION";"PACKING";"PIN_0_0_0_OUTSIDE_EDGE";"PIN_0_1_0_OUTSIDE_EDGE";"PIN_0_2_0_OUTSIDE_EDGE";"PIN_0_3_2_OUTSIDE_EDGE";"PIN_COUNT";"POPULARITY";"POWER_WISE";"PREFIX";"PRICE";"P_MAX_W";"RATING";"RELEASE_DATE";"REVERSE_STAND-OFF_VOLTAGE";"ROHS";"SPICEPREFIX";"TEMPERATURE_RANGE_HIGH";"TEMPERATURE_RANGE_LOW";"TPD__NOM_VOLTAGEMAXNS";"TP_SIGNAL_NAME";"VAULT_GUID";"VAULT_REVISION";"VCC_MAX_V";"VCC_MIN_V";"VOLTAGE_NOM_V";"VZ_TYP_V";
"C1";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";
"C4";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";
"C8";"10uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";
"C9";"100uF";"CPOL-EUD";"PANASONIC_D";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"16";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";
"C10";"33pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";
"C11";"10pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"73";"";"";"";"";"";"";"";"";"C";"";"";"";"";"";"";"";"";"";"";
"CHRG";"RED";"LEDCHIP-LED0603";"CHIP-LED0603";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CN1";"";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"JST 2-Pin Connectors of various flavors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"ON_SEMI_1N4148WSON_SEMI_1N4148WS_0_0";"ON_SEMI_1N4148WSON_SEMI_1N4148WS_0_0";"ON_SEMI_1N4148WS_0";"Small Signal Diodes";"";"";"No";"";"";"";"";"";"";"";"";"";"https://www.fairchildsemi.com/datasheets/1N/1N4148WS.pdf";"";"";"DIODE GEN PURP 75V 150MA SOD323F";"1N4148WSFSCT-ND";"";"";"";"";"";"";"";"";"";"";"SOD250125X70-2";"";"yes";"";"ON Semi";"CASE 477AB";"";"";"Diodes - General Purpose, Power, Switching Small Signal Diode";"512-1N4148WS";"";"1N4148WS";"";"";"";"";"SOD-323FL";"";"";"";"";"";"";"";"";"";"";"";"D";"";"";"";"";"";"yes";"";"+150°C";"";"";"";"";"";"";"";"";"";
"D2";"ON_SEMICONDUCTOR_MMSZ5231BT1GON_SEMICONDUCTOR_MMSZ5231BT1G_0_0";"ON_SEMICONDUCTOR_MMSZ5231BT1GON_SEMICONDUCTOR_MMSZ5231BT1G_0_0";"ON_SEMICONDUCTOR_MMSZ5231BT1G_0";"ONSC-K1A2-2";"";"";"";"804101";"";"";"";"Manufacturer URL";"http://www.onsemi.com/";"Package Specification";"http://www.onsemi.com/pub_link/Collateral/425-04.PDF";"";"http://www.onsemi.com/pub_link/Collateral/MMSZ5221BT1-D.PDF";"Rev. 12";"";"";"";"Manufacturer Recommended";"";"";"";"";"";"yes";"vault";"1521844429";"";"";"";"";"";"On Semiconductor";"";"";"Surface Mount";"";"";"";"MMSZ5231BT1G";"";"";"";"";"SOD-123-2-425-04";"2-Pin SOD, Body 1.6 x 2.69 mm";"";"Rev. G, 10/2009";"Tape and Reel";"";"";"";"";"";"";"";"D";"";"0.5";"";"1407150685";"";"No";"";"";"";"";"";"27F6BF34-1EB2-4973-A1B4-1410F52D084D";"BBBB861B-93F7-43FE-93E6-D586C34E6C45";"";"";"";"5.1";
